Constituency,State,MP,Party,Year,,,,,,,,,,,
KEONJHAR (ST) ,Orissa,GOVINDA CHANDRA MUNDA ,JD,1991,,,,,,,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC,1991,,,,,,,,,,,
MAYURBHANJ (ST) ,Orissa,BHAGEY GOBARDHAN ,INC,1991,,,,,,,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1991,,,,,,,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC,1991,,,,,,,,,,,
PURI,Orissa, BRAJA KISHORE TRIPATHY,JD,1991,,,,,,,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1991,,,,,,,,,,,
SUNDARGARH (ST) ,Orissa,FRIDA TOPNO (W) ,INC,1991,,,,,,,,,,,
AMRITSAR,Punjab,NA,NA,1991,,,,,,,,,,,
BHATINDA (SC),Punjab,NA,NA,1991,,,,,,,,,,,
FARIDKOT,Punjab,NA,NA,1991,,,,,,,,,,,
FEROZEPUR,Punjab,NA,NA,1991,,,,,,,,,,,
GURDASPUR,Punjab,NA,NA,1991,,,,,,,,,,,
HOSHIARPUR,Punjab,NA,NA,1991,,,,,,,,,,,
JULLUNDUR,Punjab,NA,NA,1991,,,,,,,,,,,
LUDHIANA,Punjab,NA,NA,1991,,,,,,,,,,,
PATIALA,Punjab,NA,NA,1991,,,,,,,,,,,
PHILLAUR (SC),Punjab,NA,NA,1991,,,,,,,,,,,
ROPAR,Punjab,NA,NA,1991,,,,,,,,,,,
SANGRUR,Punjab,NA,NA,1991,,,,,,,,,,,
TARN TARAN,Punjab,NA,NA,1991,,,,,,,,,,,
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1991,,,,,,,,,,,
ALWAR,Rajasthan, MAHENDRA KUMARI (W),BJP,1991,,,,,,,,,,,
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1991,,,,,,,,,,,
BARMER,Rajasthan, RAM NIWAS MIRDHA,INC,1991,,,,,,,,,,,
BAYANA (SC),Rajasthan, GANGARAM KOLI,BJP,1991,,,,,,,,,,,
BHARATPUR,Rajasthan, KRASHENDER KAUR (DEEPA) (W),BJP,1991,,,,,,,,,,,
BHILWARA,Rajasthan, SHIV CHARAN MATHUR,INC,1991,,,,,,,,,,,
BIKANER,Rajasthan, MANPHOOL,INC,1991,,,,,,,,,,,
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1991,,,,,,,,,,,
CHURU,Rajasthan, RAM SINGH,BJP,1991,,,,,,,,,,,
DAUSA,Rajasthan, RAJESH PILOT,INC,1991,,,,,,,,,,,
GANGANAGAR (SC) ,Rajasthan,BIRBAL RAM ,INC,1991,,,,,,,,,,,
JAIPUR,Rajasthan, GIRDHARI LAL BHARGAVA,BJP,1991,,,,,,,,,,,
JALORE (SC),Rajasthan, BUTA SINGH,INC,1991,,,,,,,,,,,
JHALAWAR,Rajasthan, VASUNDHARA RAJE (W),BJP,1991,,,,,,,,,,,
JHUNJHUNU,Rajasthan, AYUB KHAN,INC,1991,,,,,,,,,,,
JODHPUR,Rajasthan, ASHOK GEHLOT,INC,1991,,,,,,,,,,,
KOTA ,Rajasthan,DAU DAYAL JOSHI ,BJP,1991,,,,,,,,,,,
NAGAUR ,Rajasthan,NATHURAM MIRDHA ,INC,1991,,,,,,,,,,,
PALI,Rajasthan, GUMANMAL LODHA,BJP,1991,,,,,,,,,,,
SALUMBER (ST),Rajasthan, BHERU LAL MEENA,INC,1991,,,,,,,,,,,
SAWAI MADHOPUR (ST) ,Rajasthan,KUNJILAL ,BJP,1991,,,,,,,,,,,
SIKAR,Rajasthan, BALRAM,INC,1991,,,,,,,,,,,
TONK (SC),Rajasthan, RAM NARAIN BERWA,BJP,1991,,,,,,,,,,,
UDAIPUR,Rajasthan, GIRJA VYAS (W),INC,1991,,,,,,,,,,,
ARAKKONAM,Tamil Nadu, JEEVARATHINAM R.,INC,1991,,,,,,,,,,,
CHENGALPATTU,Tamil Nadu, RAJEMDRA KUMAR S.S.R.,ADK,1991,,,,,,,,,,,
CHIDAMBARAM (SC),Tamil Nadu, VALLALPERUMAN P.,INC,1991,,,,,,,,,,,
COIMBATORE,Tamil Nadu, KUPPUSWAMY C.K.,INC,1991,,,,,,,,,,,
CUDDALORE,Tamil Nadu, KALIAPERUMAL P.P.,INC,1991,,,,,,,,,,,
DHARMAPURI,Tamil Nadu, THANGKA BALU K.V.,INC,1991,,,,,,,,,,,
DINDIGUL,Tamil Nadu, C. SRINIVASAN,ADK,1991,,,,,,,,,,,
GOBICHETTIPALAYAM,Tamil Nadu, NARAYANAN P.G.,ADK,1991,,,,,,,,,,,
KARUR,Tamil Nadu, MURUGESAN N.,ADK,1991,,,,,,,,,,,
KRISHNAGIRI,Tamil Nadu, RAMA MURTHY K.,INC,1991,,,,,,,,,,,
MADRAS CENTRAL,Tamil Nadu, ANBARASU ERA,INC,1991,,,,,,,,,,,
MADRAS NORTH  ,Tamil Nadu,D. PANDIAN,INC,1991,,,,,,,,,,,
MADRAS SOUTH,Tamil Nadu, R. SRIDHARAN,ADK,1991,,,,,,,,,,,
MADURAI,Tamil Nadu, RAM BABU A.G.S.,INC,1991,,,,,,,,,,,
MAYILADUTURAI,Tamil Nadu, MANI SHANKAR AIYAR,INC,1991,,,,,,,,,,,
NAGAPATTINAM (SC) ,Tamil Nadu,PADMA (W),INC,1991,,,,,,,,,,,
NAGERCOIL ,Tamil Nadu,N. DENNIS,INC,1991,,,,,,,,,,,
NILGIRIS,Tamil Nadu, PRABHU R.,INC,1991,,,,,,,,,,,
PALANI,Tamil Nadu, SENAPATHI GOUNDER A.,INC,1991,,,,,,,,,,,
PERAMBALUR (SC),Tamil Nadu, ASOKRAJ A.,ADK,1991,,,,,,,,,,,
PERIYAKULAM,Tamil Nadu, R. RAMASAMY,ADK,1991,,,,,,,,,,,
POLLACHI (SC),Tamil Nadu, RAJARAVIVARMA B.,ADK,1991,,,,,,,,,,,
PUDUKKOTTAI,Tamil Nadu, SUNDARARAJ N.,INC,1991,,,,,,,,,,,
RAMANATHAPURAM,Tamil Nadu, RAJESHWARAN V.,INC,1991,,,,,,,,,,,
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC,1991,,,,,,,,,,,
SALEM,Tamil Nadu, RANGARAJANM KUMARAMANGALAM,INC,1991,,,,,,,,,,,
SIVAGANGA,Tamil Nadu, CHINDAMBARAM P.,INC,1991,,,,,,,,,,,
SIVAKASI,Tamil Nadu, KANGA GOVINDARAJULU R.,ADK,1991,,,,,,,,,,,
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKAR (W),INC,1991,,,,,,,,,,,
TENKASI (SC),Tamil Nadu, ARUNACHALAM M.,INC,1991,,,,,,,,,,,
THANJAVUR,Tamil Nadu, THULASIAH VANDAYAR K.,INC,1991,,,,,,,,,,,
TINDIVANAM,Tamil Nadu, RAMA MURTHEE K.,INC,1991,,,,,,,,,,,
TIRUCHENDUR,Tamil Nadu, DHANUSHKODI ATHINTHAN R.,INC,1991,,,,,,,,,,,
TIRUCHENGODE,Tamil Nadu, SOUNDARAM K.S. (W),ADK,1991,,,,,,,,,,,
TIRUCHIRAPPALLI,Tamil Nadu, L. ADAIKALA RAJ,INC,1991,,,,,,,,,,,
TIRUNELVELI,Tamil Nadu, JANARTHANAN M.R.,ADK,1991,,,,,,,,,,,
TIRUPPATTUR,Tamil Nadu, JAYA MOHAN A.,INC,1991,,,,,,,,,,,
VANDAVASI,Tamil Nadu, KRISHNASWAMY M.,INC,1991,,,,,,,,,,,
VELLORE,Tamil Nadu, AKBER PASHA B.,INC,1991,,,,,,,,,,,
AGRA,Uttar Pradesh, BHAGWAN SHANKER RAWAT,BJP,1991,,,,,,,,,,,
AKBARPUR (SC),Uttar Pradesh, RAM AWADH,JD,1991,,,,,,,,,,,
ALIGARH ,Uttar Pradesh,SHILA DEVI GAUTAM (W) ,BJP,1991,,,,,,,,,,,
ALLAHABAD,Uttar Pradesh, SAROJ DUBEY (W),JD,1991,,,,,,,,,,,
ALMORA,Uttar Pradesh, JEEWAN,BJP,1991,,,,,,,,,,,
AMETHI,Uttar Pradesh,C.S.K. SHARMA,INC,1991,,,,,,,,,,,
AMROHA,Uttar Pradesh, CHETAN CHAUHAN,BJP,1991,,,,,,,,,,,
AONLA,Uttar Pradesh, RAJVEER SINGH,BJP,1991,,,,,,,,,,,
AZAMGARH,Uttar Pradesh, CHANDRA JEET,JD,1991,,,,,,,,,,,
BAGHPAT,Uttar Pradesh, AJIT SINGH,JD,1991,,,,,,,,,,,
BAHRAICH ,Uttar Pradesh,RUDRASEN CHOUDHARY ,BJP,1991,,,,,,,,,,,
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JP,1991,,,,,,,,,,,
BALRAMPUR,Uttar Pradesh, SATYA DEO SINGH,BJP,1991,,,,,,,,,,,
BANDA,Uttar Pradesh, PRAKASH NARAIN,BJP,1991,,,,,,,,,,,
BANSGAON (SC),Uttar Pradesh, RAJ NARAIYAN,BJP,1991,,,,,,,,,,,
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR ,JP,1991,,,,,,,,,,,
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1991,,,,,,,,,,,
BASTI (SC),Uttar Pradesh, SHYAM LAL KAMAL,BJP,1991,,,,,,,,,,,
BIJNOR (SC),Uttar Pradesh, MANGAL RAM PREMI,BJP,1991,,,,,,,,,,,
BILHAUR,Uttar Pradesh, SHYAM BIHARI MISHRA,BJP,1991,,,,,,,,,,,
BUDAUN,Uttar Pradesh, CHINMAYA NAND,BJP,1991,,,,,,,,,,,
BULANDSHAHR,Uttar Pradesh, CHHATTERPAL,BJP,1991,,,,,,,,,,,
CHAIL,Uttar Pradesh, (SC) SHASHI PRAKASH,JD,1991,,,,,,,,,,,
CHANDAULI,Uttar Pradesh, ANAND RATAN MOURYA,BJP,1991,,,,,,,,,,,
DEORIA,Uttar Pradesh, MOHAN SINGH,JD,1991,,,,,,,,,,,
DOMARIAGANJ,Uttar Pradesh, RAMPAL SINGH,BJP,1991,,,,,,,,,,,
ETAH,Uttar Pradesh, MAHADEEPAK SINGH,BJP,1991,,,,,,,,,,,
ETAWAH,Uttar Pradesh, KANSHI RAM,BSP,1991,,,,,,,,,,,
FAIZABAD,Uttar Pradesh, VINAYA KATIYAR,BJP,1991,,,,,,,,,,,
FARRUKHABAD,Uttar Pradesh, SALMAN KHURSEED,INC,1991,,,,,,,,,,,
FATEHPUR,Uttar Pradesh, VISHWA NATH PRATAP SINGH,JD,1991,,,,,,,,,,,
FIROZABAD (SC),Uttar Pradesh, PRABHU DAYAL KATHERIA,BJP,1991,,,,,,,,,,,
GARHWAL,Uttar Pradesh, BHUWAN CHAND,BJP,1991,,,,,,,,,,,
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1991,,,,,,,,,,,
GHAZIPUR,Uttar Pradesh, BISHVA NATH SHASTRI,CPI,1991,,,,,,,,,,,
GHOSI,Uttar Pradesh, KALP NATH,INC,1991,,,,,,,,,,,
GONDA,Uttar Pradesh, BRIJ BHUSAN SARAN SINGH,BJP,1991,,,,,,,,,,,
GORAKHPUR,Uttar Pradesh, AWAIDYA NATH,BJP,1991,,,,,,,,,,,
HAMIRPUR,Uttar Pradesh, VISHWANATH SHARMA,BJP,1991,,,,,,,,,,,
HAPUR,Uttar Pradesh, RAMESH CHANDRA TOMER,BJP,1991,,,,,,,,,,,
HARDOI (SC),Uttar Pradesh, JAI PRAKASH,BJP,1991,,,,,,,,,,,
HARDWAR (SC) ,Uttar Pradesh,RAM SINGH ,BJP,1991,,,,,,,,,,,
HATHRAS (SC),Uttar Pradesh, LAL BAHADUR RAWAL,BJP,1991,,,,,,,,,,,
JALAUN (SC),Uttar Pradesh, GAYA PRASAD KORI,BJP,1991,,,,,,,,,,,
JALESAR,Uttar Pradesh, SWAMY SURESHNAND,BJP,1991,,,,,,,,,,,
JAUNPUR,Uttar Pradesh, ARJUN SINGH YADAVA,JD,1991,,,,,,,,,,,
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1991,,,,,,,,,,,
KAIRANA,Uttar Pradesh, HARPAL,JD,1991,,,,,,,,,,,
KAISERGANJ,Uttar Pradesh, LAXMI NARAIN MANI TRIPATHI,BJP,1991,,,,,,,,,,,
KANNAUJ,Uttar Pradesh, CHHOTE SINGH YADAV,JP,1991,,,,,,,,,,,
KANPUR,Uttar Pradesh, JAGATVEER SINGH BRON,BJP,1991,,,,,,,,,,,
KHALILABAD,Uttar Pradesh, ASHT BHUJA PRASAD SHUKLA,BJP,1991,,,,,,,,,,,
KHERI,Uttar Pradesh, GENDAN LAL KANAUJIA,BJP,1991,,,,,,,,,,,
KHURJA (SC),Uttar Pradesh, ROSHAN,JD,1991,,,,,,,,,,,
LALGANJ (SC),Uttar Pradesh, RAM BADAN,JD,1991,,,,,,,,,,,
LUCKNOW,Uttar Pradesh, ATAL BEHARI BAJPAI,BJP,1991,,,,,,,,,,,
MACHHLISHAHR,Uttar Pradesh, SHEO SARAN VERMA,JD,1991,,,,,,,,,,,
MAHARAJGANJ,Uttar Pradesh, PANKAJ CHOUDHARI,BJP,1991,,,,,,,,,,,
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JP,1991,,,,,,,,,,,
MATHURA,Uttar Pradesh, SWAMI SAKSHI JI,BJP,1991,,,,,,,,,,,
MIRZAPUR,Uttar Pradesh, BIRENDRA,BJP,1991,,,,,,,,,,,
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1991,,,,,,,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, CHHOTEY LAL,BJP,1991,,,,,,,,,,,
MORADABAD,Uttar Pradesh, GULAM MOHAMMED KHAN,JD,1991,,,,,,,,,,,
MUZAFFARNAGAR,Uttar Pradesh, NARESH KUMAR BALIYAN,BJP,1991,,,,,,,,,,,
NAINITAL,Uttar Pradesh, BALRAJ PASI,BJP,1991,,,,,,,,,,,
PADRAUNA,Uttar Pradesh, RAMNAGINA MISHRA,BJP,1991,,,,,,,,,,,
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1991,,,,,,,,,,,
PILIBHIT,Uttar Pradesh, PARASHURAM,BJP,1991,,,,,,,,,,,
PRATAPGARH,Uttar Pradesh, ABHAI PRATAP SINGH,JD,1991,,,,,,,,,,,
RAE BARELI,Uttar Pradesh, SHEILA KAUL (W),INC,1991,,,,,,,,,,,
RAMPUR,Uttar Pradesh, RAJENDRA KUMAR SHARMA,BJP,1991,,,,,,,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM NIHORE,JD,1991,,,,,,,,,,,
SAHARANPUR,Uttar Pradesh, RASHED MASOOD,JD,1991,,,,,,,,,,,
SAIDPUR (SC),Uttar Pradesh, RAJNATH SONKAR SHASTRI,JD,1991,,,,,,,,,,,
SALEMPUR,Uttar Pradesh, HARIKEWAL,JD,1991,,,,,,,,,,,
SAMBHAL,Uttar Pradesh, SRI PAL SINGH,JD,1991,,,,,,,,,,,
SHAHABAD,Uttar Pradesh, SURENDRA PAL PATHAK,BJP,1991,,,,,,,,,,,
SHAHJAHANPUR,Uttar Pradesh, SATYA PAL SINGH YADAV (SIWARA),JD,1991,,,,,,,,,,,
SITAPUR,Uttar Pradesh, JANARDAN PRASAD MISRA,BJP,1991,,,,,,,,,,,
SULTANPUR,Uttar Pradesh, VISHWANATH DASS SHASTRI,BJP,1991,,,,,,,,,,,
TEHRI GARHWAL ,Uttar Pradesh,MANBENDRA SHAH ,BJP,1991,,,,,,,,,,,
UNNAO,Uttar Pradesh, DEVI BUX SINGH,BJP,1991,,,,,,,,,,,
VARANASI,Uttar Pradesh, SHEESH CHANDRA DIXIT,BJP,1991,,,,,,,,,,,
MEERUT,Uttar Pradesh,AMAR PAL SINGH,BJP,1991,,,,,,,,,,,
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1991,,,,,,,,,,,
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1991,,,,,,,,,,,
ASANSOL,West Bengal, HARADHAN ROY,CPM,1991,,,,,,,,,,,
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1991,,,,,,,,,,,
BANKURA ,West Bengal,BASUDEV ACHARIA ,CPM,1991,,,,,,,,,,,
BARASAT,West Bengal, CHITTA BASU,FBL,1991,,,,,,,,,,,
BARRACKPORE,West Bengal, TARIT BARBAN TOPDAR,CPM,1991,,,,,,,,,,,
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1991,,,,,,,,,,,
BERHAMPORE ,West Bengal,NANI BHATACHARYYA ,RSP,1991,,,,,,,,,,,
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA ,CPM,1991,,,,,,,,,,,
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1991,,,,,,,,,,,
BURDWAN,West Bengal, SUDHIR RAY,CPM,1991,,,,,,,,,,,
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1991,,,,,,,,,,,
CALCUTTA NORTH WEST ,West Bengal,DEBI PROSAD PAL ,INC,1991,,,,,,,,,,,
CALCUTTA SOUTH,West Bengal, MAMATA BANERJEE (W),INC,1991,,,,,,,,,,,
CONTAI,West Bengal, SUDHIR GIRI,CPM,1991,,,,,,,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1991,,,,,,,,,,,
DARJEELING,West Bengal, INDER JEET,INC,1991,,,,,,,,,,,
DIAMOND HARBOUR,West Bengal, AMAL DUTTA,CPM,1991,,,,,,,,,,,
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1991,,,,,,,,,,,
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1991,,,,,,,,,,,
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1991,,,,,,,,,,,
HOWRAH,West Bengal, SUSANTA CHAKRABORTY S/O SUDHIR,CPM,1991,,,,,,,,,,,
JADAVPUR,West Bengal, MALINI BHATTACHARYA (W),CPM,1991,,,,,,,,,,,
JALPAIGURI,West Bengal, JITENDRA NATH DAS,CPM,1991,,,,,,,,,,,
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1991,,,,,,,,,,,
JHARGRAM (ST),West Bengal, RUPCHAND MURMU,CPM,1991,,,,,,,,,,,
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1991,,,,,,,,,,,
KATWA,West Bengal, SAIFUDDIN CHOWDHRY,CPM,1991,,,,,,,,,,,
KRISHNAGAR,West Bengal, AJOY MUKHOPADHYAY,CPM,1991,,,,,,,,,,,
MALDA,West Bengal, ABDUL BARKAT ATAUL GHANI KHAN CHOUDHARY,INC,1991,,,,Bihar,,,,SP,,Lovely Singh,91-95
MATHURAPUR (SC),West Bengal, RADHIKA RANJAN PRAMANICK,CPM,1991,,,,Maharashtra,,,,INC,,Baba Saheb Thide,91-95
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1991,,,,,,,,INC,,M.D. Raosulke,91-95
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1991,,,,West Bengal,,,Behrampur,RSP,,P. Mukherjee,91-95
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1991,,,,Uttar Pradesh,,,Meerut,BJP,,Amarpal Singh,91-95
PANSKURA,West Bengal, GITA MUKHERJEE (W),CPI,1991,,,,,,,,,,,
PURULIA,West Bengal,B. MAHATO,FBL,1991,,,,,,,,,,,
RAIGANJ,West Bengal, SYBARTA MUKERJEE,CPM,1991,,,,,,,,,,,
SERAMPORE,West Bengal, SUDARSAN ROY CHOWDHURY,CPM,1991,,,,,,,,,,,
TAMLUK,West Bengal, SATYAGOPAL MISRA,CPM,1991,,,,,,,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1991,,,,,,,,,,,
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1991,,,,,,,,,,,
ADILABAD,Andhra, ALLOLA INDRAKARAN REDDY,TDP,1992,,,,,,,,,,,
AMALAPURAM (SC),Andhra, BALAYOGI G.M.C.,TDP,1992,,,,,,,,,,,
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1992,,,,,,,,,,,
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1992,,,,,,,,,,,
BAPATLA,Andhra, VENKATESWARA RAO DAGGUBATI,TDP,1992,,,,,,,,,,,
BHADRACHALAM (ST),Andhra, KARREDDULA KAMALAKUMARI (W),INC,1992,,,,,,,,,,,
BOBBILI,Andhra, ANANDA GAJAPATHI RAJU POOSAPATHI,INC,1992,,,,,,,,,,,
CHITTOOR,Andhra, M. GNANENDRA REDDY,INC,1992,,,,,,,,,,,
CUDDAPAH,Andhra, Y.S. RAJASEKHAR REDDY,INC,1992,,,,,,,,,,,
ELURU,Andhra, BOLLA BULLIRAMAIAH,TDP,1992,,,,,,,,,,,
GUNTUR,Andhra, LAL JAN BASHA S.M.,TDP,1992,,,,,,,,,,,
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1992,,,,,,,,,,,
HINDUPUR,Andhra, S. GANGADHARA,INC,1992,,,,,,,,,,,
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1992,,,,,,,,,,,
KAKINADA,Andhra, THOTA SUBBARAO,TDP,1992,,,,,,,,,,,
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1992,,,,,,,,,,,
KHAMMAM,Andhra, RANGAYYA NAYUDU P.V.,INC,1992,,,,,,,,,,,
KURNOOL,Andhra, K. VIJAYA BHASKARA REDDY,INC,1992,,,,,,,,,,,
MACHILIPATNAM,Andhra, K.P. REDDAIAH,TDP,1992,,,,,,,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1992,,,,,,,,,,,
MEDAK,Andhra, N. BAGA REDDY,INC,1992,,,,,,,,,,,
MIRYALGUDA ,Andhra,BHEEMIREDDY NARSIMHA REDDY ,CPM,1992,,,,,,,,,,,
NAGARKURNOOL (SC),Andhra, MALLU RAVI,INC,1992,,,,,,,,,,,
NALGONDA,Andhra, BOMMAGANI DHARMA BIKSHAM,CPI,1992,,,,,,,,,,,
NANDYAL,Andhra,P. V. N. Rao,INC,1992,,,,,,,,,,,
NARASAPUR,Andhra, VIJAYAKUMAR RAJU BHUPATHIRAJU,TDP,1992,,,,,,,,,,,
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1992,,,,,,,,,,,
NELLORE (SC),Andhra, KUDUMULA PADMASRE (W),INC,1992,,,,,,,,,,,
NIZAMABAD,Andhra, GADDAM GANGA REDDY,TDP,1992,,,,,,,,,,,
ONGOLE,Andhra, MANGUNTA SUBBARAMA REDDY,INC,1992,,,,,,,,,,,
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1992,,,,,,,,,,,
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1992,,,,,,,,,,,
RAJAHMUNDRY,Andhra, K.V.R. CHOWDARY,TDP,1992,,,,,,,,,,,
RAJAMPET,Andhra, ANNAIAHGARI SAIPRATHAP,INC,1992,,,,,,,,,,,
SECUNDERABAD,Andhra, BANDARU DATTATRAYA,BJP,1992,,,,,,,,,,,
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1992,,,,,,,,,,,
SRIKAKULAM ,Andhra,VISWANDHAM KANITHI ,INC,1992,,,,,,,,,,,
TENALI,Andhra, UMMAREDDY VENKATESWARLU,TDP,1992,,,,,,,,,,,
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1992,,,,,,,,,,,
VIJAYAWADA,Andhra, VADDE SOBHANDRESWARA RAO,TDP,1992,,,,,,,,,,,
VISAKHAPATNAM,Andhra, M.V.V.S. MURTHI,TDP,1992,,,,,,,,,,,
WARANGAL,Andhra, SURENDRA REDDY RAMA SAHAYAM,INC,1992,,,,,,,,,,,
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1992,,,,,,,,,,,
ARRAH,Bihar, RAM LAKHAN SINGH YADAV,JD,1992,,,,,,,,,,,
AURANGABAD,Bihar, RAM NARESH SINGH,JD,1992,,,,,,,,,,,
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,JD,1992,,,,,,,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1992,,,,,,,,,,,
BANKA,Bihar, PRATAP SINGH,JD,1992,,,,,,,,,,,
BARH,Bihar, NITISH KUMAR,JD,1992,,,,,,,,,,,
BEGUSARAI,Bihar, KRISHNA SAHI (W),INC,1992,,,,,,,,,,,
BETTIAH,Bihar, FAIYAZULAZAM,JD,1992,,,,,,,,,,,
BHAGALPUR,Bihar, CHUNCHUN PRA. YADAV,JD,1992,,,,,,,,,,,
BIKRAMGANJ,Bihar, RAM PRASAD SINGH,JD,1992,,,,,,,,,,,
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1992,,,,,,,,,,,
CHAPRA,Bihar, LAL BABU RAI,JD,1992,,,,,,,,,,,
CHATRA,Bihar, UPENDRA NATH VERMA,JD,1992,,,,,,,,,,,
DARBHANGA,Bihar, MD. ALI ASRAF FATMI,JD,1992,,,,,,,,,,,
DHANBAD,Bihar, RITA VERMA (W),BJP,1992,,,,,,,,,,,
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1992,,,,,,,,,,,
GAYA (SC),Bihar, RAJESH KUMAR,JD,1992,,,,,,,,,,,
GIRIDIH,Bihar,R. K. MAHTE,JMM,1992,,,,,,,,,,,
GODDA,Bihar, SURAJ MANDAL,JMM,1992,,,,,,,,,,,
GOPALGANJ,Bihar, ABDUL GHAFOOR,JD,1992,,,,,,,,,,,
HAJIPUR (SC),Bihar, RAM SUNDER DAS,JD,1992,,,,,,,,,,,
HAZARIBAGH,Bihar, BHUNESHWAR PRASAD MEHTA,CPI,1992,,,,,,,,,,,
JAHANABAD,Bihar, RAMRAMASHARAY PRASAD SINGH,CPI,1992,,,,,,,,,,,
JAMSHEDPUR,Bihar, SILENDRA MAHTO,JMM,1992,,,,,,,,,,,
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1992,,,,,,,,,,,
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1992,,,,,,,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1992,,,,,,,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1992,,,,,,,,,,,
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1992,,,,,,,,,,,
KODARMA,Bihar, MUMTAZ ANSARI,JD,1992,,,,,,,,,,,
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1992,,,,,,,,,,,
MADHEPURA,Bihar, SHARAD YADAV,JD,1992,,,,,,,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1992,,,,,,,,,,,
MAHARAJGANJ,Bihar, GIRIJA DEVI (W),JD,1992,,,,,,,,,,,
MONGHYR,Bihar, BRAHMANAND MANDAL,CPI,1992,,,,,,,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1992,,,,,,,,,,,
MUZAFFARPUR,Bihar, GEORGE FERNANDESE,JD,1992,,,,,,,,,,,
NALANDA,Bihar, VIJOY KUMAR YADAV,CPI,1992,,,,,,,,,,,
NAWADA (SC),Bihar, PREM CHAND RAM,CPM,1992,,,,,,,,,,,
PALAMAU (SC) ,Bihar,RAM DEO RAM,BJP,1992,,,,,,,,,,,
